id	manuscript_item	figure_or_table	scripts	artifacts	status	absent_artifacts	note
M1	DNABERT-2 pretrained MLM pair L9/r264 + L9/r294; joint ablation and epistasis	Fig 3A,B	experiments/frozen/E9_mechanistic_tomography/run_dnabert2_measurements.py;scripts/mechanism/run_pretrained_epistasis.py	experiments/figures/source_data/fig3_dnabert.json	OK		Epistasis +2.0118 at eps=1.0 on the pretrained objective.
M2	Finite-intervention tomography, observer families F0-F3 on a fixed 10-row basis	Fig 3C,D	experiments/frozen/E9_mechanistic_tomography/run_fit_observers.py;experiments/frozen/E9_mechanistic_tomography/run_baseline_regression.py	experiments/figures/source_data/fig3_dnabert.json	OK		Held-out R2 0.888 (F3) vs 0.517 (F2) at eps=0.5; 100 resplits.
M3	GENERator L4/r2371 BOS mediation and position rescue	Fig 4	experiments/frozen/E12_generator_degradation_control/run_bos_mediation_main.py;experiments/frozen/E12_generator_degradation_control/run_e12_full.py;scripts/mechanism/run_generator_position_rescue.py;scripts/mechanism/run_bos_identity_vs_position.py	results/E_BOS_MEDIATION/bos_mediation_results.json;results/mechanism_generator/generator_position_rescue.json;results/mechanism_generator/generator_bos_identity_vs_position.json;experiments/figures/source_data/fig4_generator.json	OK		Activation follows BOS identity, not position 0.
M4	GENERator GC composition and damage-matched random-direction replacement	Fig S2	scripts/mechanism/run_random_directions.py;experiments/figures/supplement/fig_s2_random_direction.py	results/mechanism_generator/generator_random_direction_replicates.json;results/E12/damage_matching.csv	OK		GC phenotype tracks damage magnitude, not the learned direction.
M5	Attention-sink diagnostics at the GENERator SW position	Discussion	scripts/mechanism/run_attention_sink.py;scripts/mechanism/run_attention_sink_generator.py	results/mechanism_generator/generator_attention_sink.json	OK		Observational: attention was not causally manipulated.
W1	Within-layer graded sweep, 36 rows log-spaced by ratio rank, two decoders	Fig 5	scripts/within_layer_sweep/run_within_model_slope.py;scripts/within_layer_sweep/run_within_model_slope_text.py;scripts/within_layer_sweep/plot_within_model_slope_2panel.py	results/within_layer_sweep/within_model_slope.json;results/within_layer_sweep/within_model_slope_smollm2_1.7b.json;results/within_layer_sweep/within_model_slope_comparison.json;results/within_layer_sweep/fig_within_model_slope_2panel.pdf;results/supplementary/S7_within_layer_sweep.tsv	OK		Two-regime: no graded signal below the ratio>=5 accept threshold, strong ordering above.
W2	Second critical row r161 and the r161/r749 masking interaction, with geometry	Results; Table S6	scripts/within_layer_sweep/run_smollm2_second_row_epistasis.py;scripts/within_layer_sweep/run_smollm2_row_geometry.py	results/within_layer_sweep/smollm2_second_row_epistasis.json;results/within_layer_sweep/smollm2_161_749_geometry.json;results/supplementary/S8_two_critical_rows.tsv	OK		Independently re-verified; mechanism explicitly not claimed.
P1	Phi-3 six-row basis and its tomography (not used for any cohort claim)	Fig S1A; Note S1	experiments/frozen/E10b_phi3_tomography/run_phi3_tomography.py;experiments/frozen/E7_exact_dimensionality/run_phi3_spectral.py	results/e10b_phi3_tomography_responses.json;experiments/figures/source_data/fig_s1_structural_detail.json	OK		Full-ablation response treated as unresolved.
P2	Per-model random-control causal detail for the decoder audit	Fig S1B	experiments/frozen/E10_nlp_architecture_causal/run_decoder_spectrum.py	results/e10_decoder_control_rows.json	OK		Individual control values behind the cohort medians.
T1	Supplementary tables S2, S3, S6, S7, S8 (built from committed artifacts)	Tables S2, S3, S6-S8	scripts/census_analysis/build_supplementary_tables.py	results/supplementary/S2_structural_metrics_and_stability.tsv;results/supplementary/S3_causal_census_and_disagreements.tsv;results/supplementary/S6_dnabert2_tomography.tsv;results/supplementary/S7_within_layer_sweep.tsv;results/supplementary/S8_two_critical_rows.tsv;results/supplementary/README.md	OK		S1, S4 and S5 are reformatted verbatim from the round-2 audit and are not rebuilt.
A1	Cohort structure-function correlations and figures	Fig 2C; Table S4	scripts/census_analysis/run_activation_vs_causality.py;scripts/census_analysis/run_census_analyses.py	results/census_analysis/activation_vs_causality.tsv;results/census_analysis/activation_vs_causality_per_model.tsv;results/census_analysis/family_clustered_sensitivity.tsv	OK		Includes the family-clustered resampling sensitivity.
