display_name	hf_repo	requested_revision	resolved_revision	revision_recoverable	domain	architecture	non_embedding_params	candidate_layer	candidate_row	selection_protocol	selection_rule_verbatim	activation_ratio	frozen_candidate_is_ratio_argmax	frozen_candidate_is_activation_argmax	candidate_source	note
HuggingFaceTB/SmolLM2-360M	HuggingFaceTB/SmolLM2-360M	f8027fd0eaeea54caa13c31d31b9fdc459c38b49	f8027fd0eaeea54caa13c31d31b9fdc459c38b49	TRUE	text	decoder	314635200	3	87	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/E11/raw/smollm2-360m.json	
Llama-7B	huggyllama/llama-7b	unpinned (E5/E6 original)	4782ad278652c7c71b72204d462d6d01eaaf7549	TRUE	text	decoder	6476273664	2	3968	grandfathered activation	activation-argmax (grandfathered, pre-ratio-rule protocol; e7_legacy_reanalysis.json carries no ratio field at all)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	NOT FOUND (not verified this audit -- would require a full per-row detection re-run, not performed for the other 5 legacy models)	TRUE (by construction of the legacy selection method)	results/e7_legacy_reanalysis.json	Same legacy-source pattern as DNABERT-2; not independently re-verified against the current ratio rule in this audit
Mistral-7B	mistralai/Mistral-7B-v0.1	unpinned (E5/E6 original)	27d67f1b5f57dc0953326b2601d68371d40ea8da	TRUE	text	decoder	6979588096	1	2070	grandfathered activation	activation-argmax (grandfathered, pre-ratio-rule protocol; e7_legacy_reanalysis.json carries no ratio field at all)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	NOT FOUND (not verified this audit -- would require a full per-row detection re-run, not performed for the other 5 legacy models)	TRUE (by construction of the legacy selection method)	results/e7_legacy_reanalysis.json	Same legacy-source pattern as DNABERT-2; not independently re-verified against the current ratio rule in this audit
ModernBERT-base	answerdotai/ModernBERT-base	8949b909ec900327062f0ebf497f51aef5e6f0c8	8949b909ec900327062f0ebf497f51aef5e6f0c8	TRUE	text	encoder	110972608	15	251	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/e8_detection_modernbert.json	
MosaicBERT	mosaicml/mosaic-bert-base	c89bbadc24278928f22bcdd7de6b61a5a2d08553	c89bbadc24278928f22bcdd7de6b61a5a2d08553	TRUE	text	encoder	113951808	9	287	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/e8_detection_mosaicbert.json	
NTv3	InstaDeepAI/NTv3_650M_pre	unpinned (E5/E6 original)	unpinned (E5/E6 original)	FALSE (no resolved commit recorded)	genomic	encoder	651829819	11	1472	grandfathered activation	activation-argmax (grandfathered, pre-ratio-rule protocol; e7_legacy_reanalysis.json carries no ratio field at all)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	FALSE (verified round-2: frozen L11/r1472 is ratio_rank=3, ratio=23.17; true ratio-argmax is L6/r1472, ratio=30.63)	TRUE (by construction of the legacy selection method)	results/e7_legacy_reanalysis.json	Genuine activation-vs-ratio inconsistency with no downstream consequence (author-confirmed): L6/r1472 (ratio=30.63) vs frozen L11/r1472 (ratio=23.17), but q1 0.395 vs 0.389 changes nothing about NTv3's position as the cohort q1 minimum. Round-2: audit/round2/section3_ntv3_detector_recheck.json
OLMo-7B-0724-hf	allenai/OLMo-7B-0724-hf	unpinned (E5/E6 original)	1ee306df318ee15bfe4a76ebd5c002b0105b1ab6	TRUE	text	decoder	6476005376	1	269	grandfathered activation	activation-argmax (grandfathered, pre-ratio-rule protocol; e7_legacy_reanalysis.json carries no ratio field at all)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	NOT FOUND (not verified this audit -- would require a full per-row detection re-run, not performed for the other 5 legacy models)	TRUE (by construction of the legacy selection method)	results/e7_legacy_reanalysis.json	Same legacy-source pattern as DNABERT-2; not independently re-verified against the current ratio rule in this audit
Qwen/Qwen2.5-0.5B	Qwen/Qwen2.5-0.5B	060db6499f32faf8b98477b0a26969ef7d8b9987	060db6499f32faf8b98477b0a26969ef7d8b9987	TRUE	text	decoder	357898112	21	62	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/E11/raw/qwen25-0.5b.json	
Qwen/Qwen2.5-1.5B	Qwen/Qwen2.5-1.5B	8faed761d45a263340a0528343f099c05c9a4323	8faed761d45a263340a0528343f099c05c9a4323	TRUE	text	decoder	1310340608	26	408	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/E11/raw/qwen25-1.5b.json	
Qwen/Qwen2.5-3B	Qwen/Qwen2.5-3B	3aab1f1954e9cc14eb9509a215f9e5ca08227a9b	3aab1f1954e9cc14eb9509a215f9e5ca08227a9b	TRUE	text	decoder	2774773760	30	318	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/E11/raw/qwen25-3b.json	
Qwen2.5-7B	Qwen/Qwen2.5-7B	d149729398750b98c0af14eb82c78cfe92750796	d149729398750b98c0af14eb82c78cfe92750796	TRUE	text	decoder	6525621760	26	458	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/e7_phase1_detection_qwen25.json	
answerdotai/ModernBERT-large	answerdotai/ModernBERT-large	45bb4654a4d5aaff24dd11d4781fa46d39bf8c13	45bb4654a4d5aaff24dd11d4781fa46d39bf8c13	TRUE	text	encoder	344253440	19	379	current ratio detector	ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)	NOT FOUND (census_master.csv leaves activation_ratio blank by design -- see audit/AUDIT_REPORT.md Section 2 deliverables note and Section 6: reconciling the multiple, sometimes-disagreeing detector code paths was out of scope for that column; raw numeric ratio values exist unaggregated in each model's own source detection JSON for the 16 current-ratio-detector models, e.g. results/E11/raw/*.json, but were not extracted here to avoid silently picking among code paths -- see detector_provenance.csv note field)	TRUE (by construction of the current detector code)	NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate)	results/E11/raw/modernbert-large.json	
