model,candidate_layer,candidate_row,candidate_source,selection_rule,frozen_candidate_is_ratio_argmax,frozen_candidate_is_activation_argmax,requested_revision,resolved_revision,revision_recoverable,note
Qwen/Qwen2.5-0.5B,21,62,results/experiments/E11/raw/qwen25-0.5b.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),060db6499f32faf8b98477b0a26969ef7d8b9987,060db6499f32faf8b98477b0a26969ef7d8b9987,TRUE,
Qwen/Qwen2.5-1.5B,26,408,results/experiments/E11/raw/qwen25-1.5b.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),8faed761d45a263340a0528343f099c05c9a4323,8faed761d45a263340a0528343f099c05c9a4323,TRUE,
Qwen/Qwen2.5-3B,30,318,results/experiments/E11/raw/qwen25-3b.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),3aab1f1954e9cc14eb9509a215f9e5ca08227a9b,3aab1f1954e9cc14eb9509a215f9e5ca08227a9b,TRUE,
HuggingFaceTB/SmolLM2-135M,11,507,results/experiments/E11/raw/smollm2-135m.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),93efa2f097d58c2a74874c7e644dbc9b0cee75a2,93efa2f097d58c2a74874c7e644dbc9b0cee75a2,TRUE,
HuggingFaceTB/SmolLM2-360M,3,87,results/experiments/E11/raw/smollm2-360m.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),f8027fd0eaeea54caa13c31d31b9fdc459c38b49,f8027fd0eaeea54caa13c31d31b9fdc459c38b49,TRUE,
HuggingFaceTB/SmolLM2-1.7B,7,227,results/experiments/E11/raw/smollm2-1.7b.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),effd688a12921b4cc83e3312b6feb579f70f9c71,effd688a12921b4cc83e3312b6feb579f70f9c71,TRUE,
GenerTeam/GENERator-v2-prokaryote-1.2b-base,4,798,results/experiments/E11/raw/generator-prok-1.2b.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),8b2f768b0d293953518ff91d34600f9322ef1f94,8b2f768b0d293953518ff91d34600f9322ef1f94,TRUE,
GenerTeam/GENERator-v2-prokaryote-3b-base,8,260,results/experiments/E11/raw/generator-prok-3b.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),b18ac86df77359d894d7bc050cea78e2d0713021,b18ac86df77359d894d7bc050cea78e2d0713021,TRUE,
EuroBERT/EuroBERT-210m,3,300,results/experiments/E11/raw/eurobert-210m.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),39b51e15dd1f1a06f58b5cbf6a8a188cec60bd0e,39b51e15dd1f1a06f58b5cbf6a8a188cec60bd0e,TRUE,
EuroBERT/EuroBERT-610m,13,762,results/experiments/E11/raw/eurobert-610m.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),d9af784ed20db6c2096e335ec6a67dd4a219924c,d9af784ed20db6c2096e335ec6a67dd4a219924c,TRUE,
EuroBERT/EuroBERT-2.1B,14,2198,results/experiments/E11/raw/eurobert-2.1b.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),81245a4d71f43452badf5e04458e4ddb831ff109,81245a4d71f43452badf5e04458e4ddb831ff109,TRUE,
answerdotai/ModernBERT-large,19,379,results/experiments/E11/raw/modernbert-large.json,"ratio-argmax (current protocol: global max of out_max/median(channel_max), accept if >=5.0)",TRUE (by construction of the current detector code),NOT FOUND (not verified this audit -- source JSON does not retain the full per-row activation table needed to check whether the ratio-argmax coordinate also happens to be the activation-argmax coordinate),45bb4654a4d5aaff24dd11d4781fa46d39bf8c13,45bb4654a4d5aaff24dd11d4781fa46d39bf8c13,TRUE,
